sheet,field_name_NO,validation,mandatory,example,comments,dwc_mapping
feltoperasjoner,Feltoperasjonsnr,,TRUE,NINA_THE_37,OBLIGATORISK! Nøkkel,
feltoperasjoner,AktivitetID,l_aktivitet.csv,TRUE,,,vannmiljo:ActivityID
feltoperasjoner,Aktivitetsbeskrivelse,"lookup(-1,l_aktivitet!A2:C53,2)
",FALSE,Prøvefiske med garn,,
feltoperasjoner,ParameterID,l_parameter.csv,TRUE,,,
feltoperasjoner,Prosjektleder,,FALSE,Trygve Hesthagen,,
feltoperasjoner,Fagansvarlig,,FALSE,Trygve Hesthagen,,
feltoperasjoner,Prosjektnr,,FALSE,13506,,
feltoperasjoner,Prosjektnavn,,FALSE,Overvåking sur nedbør,,
feltoperasjoner,Serienavn,,FALSE,,,
feltoperasjoner,Merknader,,FALSE,,,
lokaliteter,vatn_lnr,l_vatn_lnr.csv,,21894,OBLIGATORISK! Nøkkel,
lokaliteter,loknavn,"lookup(-1,l_vatn_lnr!A2:F255742,4)
",,Saudlandsvatn,,
lokaliteter,kommune,"lookup(-2,l_vatn_lnr!A2:F255742,3)
",,,,
lokaliteter,fylke,"lookup(-3,l_vatn_lnr!A2:F255742,2)
",,,,
lokaliteter,Merknader,"
",,,,
lokaliteter,pavirkning1,l_paavirkning.csv,,4,1 = Upåvirket  | 2 = Regulert  | 3 = Kalket    | 4 = Forsuret  | 5 = Eutrofiert,
lokaliteter,pavirkning1_navn,"lookup(-1,l_paavirkning!A2:C6,2)",,,,
lokaliteter,Påvirkning2,,,,,
stasjoner,StasjonsNr,unique,,1,,
stasjoner,vatn_lnr,must_contain(lokaliteter$vatn_lnr),,21894,,
stasjoner,Stasjonsnavn,,,Saudlandsvatn,,
stasjoner,Stasjonsangivelse,,,,,
stasjoner,Stasjonsbeskrivelse,,,bunngarn,,
stasjoner,waipoint_fil,,,*.gpx fil,,
stasjoner,waipoint_start,,,wp1,vegpunktnavn stasjon-start (bruk denne ved kun ett navn),
stasjoner,waipoint_slutt,,,wp2,vegpunktnavn stasjon-slutt,
stasjoner,start_lengdegrad,,,,Bruk helst ikke manuelt opplastede koordinater,
stasjoner,start_breddegrad,,,,Bruk helst ikke manuelt opplastede koordinater,
stasjoner,slutt_lengdegrad,,,,,
stasjoner,slutt_breddegrad,,,,,
stasjoner,Merknader,,,,,
innsats,eventID,ID:UUID,,,,eventID
innsats,feltNr,unique,,,,fieldNumber
innsats,Dato,is_date,,,,
innsats,Aar,is_year,,2011,,
innsats,Maaned,is_month,,8,,
innsats,Dag,is_day,,26,,
innsats,StasjonsNr,,,1,,
innsats,Innsjønr,,,21894,,
innsats,RegineNr,,,,,
innsats,MinDyp,,,0,,
innsats,MaxDyp,,,3,,
innsats,Redskap,,,1,,
innsats,Type serie,,,1,,
innsats,Antall serier,,,,,
innsats,Antall garn,,,1,,
innsats,Siktedyp,,,"5,8",,
fisk,occurrenceID,ID:UUID,,,,occurrenceID
fisk,Feltoperasjonsnr,,,NINA_THE_37,,
fisk,Innsjønr,,,21894,,
fisk,RegineNr,,,,,
fisk,StasjonsNr,,,1,,
fisk,Dato,,,,,
fisk,Aar,,,2011,,
fisk,Maaned,,,8,,
fisk,Dag,,,26,,
fisk,Lopenr,unique,,1,,recordNumber
fisk,Art,,,5,,
fisk,Redskap,,,1,,
fisk,Type serie,,,1,,
fisk,Maskevidde,,,,,
fisk,MinDyp,,,0,,
fisk,MaxDyp,,,3,,
fisk,Lengde,,,67,,
fisk,GaffelLengde,,,,,
fisk,Vekt,,,,,
fisk,Kjønn,,,1,,
fisk,Stadium,,,1,,
fisk,AlderSkjell,,,0,,
fisk,AlderOtolitt,,,,,
fisk,AlderAnnet,,,,,
fisk,Kjøttfarge,,,,,
fisk,Mageprøve,,,,,
fisk,Magefylling,,,,,
fisk,Merkemetode,,,,,
fisk,Merkenr,,,,,
fisk,Settefisk,,,,,
fisk,Finnemerke,,,,,
fisk,Tilbakeberegningsstruktur,,,1,,
fisk,Radius,,,28,,
fisk,Radius1,,,,,
fisk,Radius2,,,,,
fisk,Radius3,,,,,
fisk,Radius4,,,,,
fisk,Radius5,,,,,
fisk,Radius6,,,,,
fisk,Radius7,,,,,
fisk,Radius8,,,,,
fisk,Radius9,,,,,
fisk,Radius10,,,,,
fisk,Radius11,,,,,
fisk,Radius12,,,,,
fisk,Radius13,,,,,
fisk,Radius14,,,,,
fisk,Radius15,,,,,
fisk,Radius16,,,,,
fisk,Radius17,,,,,
fisk,Radius18,,,,,
fisk,Radius19,,,,,
fisk,Radius20,,,,,
